Division Cost Function
Dijkstra Implementation
Seed	Path Cost		Uncovered	Time Taken
1	198.59165501141644	162340		929
2	198.56141550095256	162364		920
3	198.4864317411443	162247		946
4	198.70066424826052	162263		989
5	198.25499446810397	161946		929
DEM2XYZ	548.3684300960452	1094119		8327

A* Implementation
Seed	Path Cost		Uncovered	Time Taken
1	198.59165501141644	35593		199
2	198.56141550095256	35578		202
3	198.4864317411443	35570		202
4	198.70066424826052	35588		198
5	198.25499446810397	35573		202
DEM2XYZ	548.3684300960452	334550		2333

